Date,Exercise,Sets x Reps,Muscular Group
2026-02-28,"Standing overhead press",3x5,"Shoulders"
2026-02-28,"Front plate raises",3x18,"Shoulders"
2026-02-28,"Seated dumbbell lateral raises",3x15,"Shoulders"
2026-02-28,"One-arm kettlebell push press",2x8,"Shoulders"
2026-03-02,"High-bar squat (with 2-sec pause)",3x8,"Quads"
2026-03-02,"Narrow-stance leg press (quad focus)",3x15,"Quads"
2026-03-02,"Barbell walking lunges",3x12,"Quads"
2026-03-02,"Leg extensions",1x15,"Quads"
2026-03-02,"Leg curls",1x15,"Hamstrings"
2026-03-02,"Leg extensions",1x15,"Quads"
2026-03-02,"Leg curls",1x15,"Hamstrings"
2026-03-02,"Leg extensions",1x15,"Quads"
2026-03-02,"Leg curls",1x15,"Hamstrings"
2026-03-02,"Leg extensions",1x15,"Quads"
2026-03-02,"Leg curls",1x15,"Hamstrings"
2026-03-02,"Seated dumbbell press",3x10,"Shoulders"
2026-03-02,"Standing lateral raise",3x25,"Shoulders"
2026-03-02,"Static Pull-Up Hold (90° Elbow)",1x,"Back"
2026-03-04,"Incline bench press with 1-sec pause",3x8,"Chest"
2026-03-04,"Bench press (1–2 sec pause on the chest)",3x3,"Chest"
2026-03-04,"​Dumbbell bench press",3x12,"Chest"
2026-03-04,"Cable chest fly",3x18,"Chest"
2026-03-04,"Seated dumbbell French press",4x15,"Triceps"
2026-03-04,"Diamond Push-Ups",3x25,"Triceps"
2026-03-06,"Deficit deadlift (platform 5–7 cm)",2x8,"Hamstrings"
2026-03-06,"Bent-over barbell row (overhand grip)",4x10,"Back"
2026-03-06,"Bent-over rows with dumbbells",3x12,"Back"
2026-03-06,"Lat Pulldowns",3x15,"Back"
2026-03-06,"Dumbbell pullover",3x20,"Chest"
2026-03-06,"Barbell curls",3x6,"Biceps"
2026-03-06,"Barbell wrist curls",3x25,"Forearms"
2026-03-06,"Behind-the-back wrist curls",2x25,"Forearms"
2026-03-09,"Low-bar squat",2x8,"Glutes"
2026-03-09,"Goblet squat",3x18,"Quads"
2026-03-09,"Leg press (Wide stance)",3x12,"Glutes"
2026-03-09,"Leg extensions",3x25,"Quads"
2026-03-09,"Vertical jumps",3x10,"Full Body"
2026-03-09,"Behind-the-back wrist curls",4x30,"Forearms"
2026-03-09,"Plate holds standing",2x,"Forearms"
2026-03-09,"Pull-Up Hold (Isometric)",1x,"Back"
2026-03-11,"Bench press",3x10,"Chest"
2026-03-11,"Dips",3x8,"Triceps"
2026-03-11,"Alternating incline dumbbell press",4x7,"Chest"
2026-03-11,"Standing overhead press",3x10,"Shoulders"
2026-03-11,"Push-ups",3x10,"Chest"
